SampleID;Weight
417-1-B;0,2914
417-2-B;0,2702
417-3-B;0,2617
417-4-B;0,2716
417-1-S;0,2114
417-2-S;0,2081
417-3-S;0,1584
417-4-S;0,1588
417-1-P;0,0537
417-2-P;0,0687
417-3-P;0,0252
417-4-P;0,0535
CTR-1-B;0,2659
CTR-2-B;0,2974
CTR-3-B;0,2597
CTR-4-B;0,2623
CTR-1-S;0,1746
CTR-2-S;0,2261
CTR-3-S;0,1898
CTR-4-S;0,0883
CTR-1-P;0,0788
CTR-2-P;0,044
CTR-3-P;0,0501
CTR-4-P;0,0155
134-1-B;0,2721
134-2-B;0,271
134-3-B;0,284
134-4-B;0,2906
134-1-S;0,229
134-2-S;0,1626
134-3-S;0,1858
134-4-S;0,1543
134-1-P;0,0501
134-2-P;0,0319
134-3-P;0,0715
134-4-P;0,0447
158-1-B;0,2619
158-2-B;0,2571
158-3-B;0,2589
158-4-B;0,2865
158-1-S;0,1352
158-2-S;0,1031
158-3-S;0,1986
158-4-S;0,1396
158-1-P;0,0424
158-2-P;0,0279
158-3-P;0,0521
158-4-P;0,0427
CHA-1-B;0,2567
CHA-2-B;0,285
CHA-3-B;0,291
CHA-4-B;0,269
CHA-1-S;0,1731
CHA-2-S;0,1086
CHA-3-S;0,0973
CHA-4-S;0,0587
CHA-1-P;0,0379
CHA-2-P;0,0236
CHA-3-P;0,0271
CHA-4-P;0,0107
317-1-B;0,2656
317-2-B;0,2737
317-3-B;0,2716
317-4-B;0,2865
317-1-S;0,2718
317-2-S;0,2194
317-3-S;0,08
317-4-S;0,1157
317-1-P;0,0582
317-2-P;0,0547
317-3-P;0,0274
317-4-P;0,0322
358-1-S;0,2307
358-2-S;0,1329
358-3-S;0,1475
358-4-S;0,1499
358-1-P;0,0378
358-2-P;0,06
358-3-P;0,0375
358-4-P;0,0337
358-1-B;0,2842
358-2-B;0,2732
358-3-B;0,278
358-4-B;0,2613
365-1-B;0,2459
365-2-B;0,2532
365-3-B;0,2689
365-4-B;0,2852
365-1-S;0,1538
365-2-S;0,1226
365-3-S;0,0993
365-4-S;0,1379
365-1-P;0,0293
365-2-P;0,044
365-3-P;0,0233
365-4-P;0,0412
